event,idx,time_sec,pc1,pc2,type,k_type,db_type,image,image_exists
1,4682,4.682,-0.29520177788830165,0.47203839776206585,2,2,1,Raster_Evt001_1ch.png,True
2,5082,5.082,-0.45350784524934745,-0.020945061743508773,2,2,1,Raster_Evt002_1ch.png,True
3,5344,5.344,-0.15146554751447955,0.6980427403391861,2,2,1,Raster_Evt003_1ch.png,True
4,5988,5.988,0.005106907831242305,-0.6119306197489303,2,2,1,Raster_Evt004_1ch.png,True
5,6653,6.653,-0.634702159135131,-0.01487228746389173,2,2,1,Raster_Evt005_1ch.png,True
6,7318,7.318,0.019781936879382542,-0.46121150554577717,2,2,1,Raster_Evt006_1ch.png,True
7,7722,7.722,0.008584853859391431,-0.4206440984736173,2,2,1,Raster_Evt007_1ch.png,True
8,12241,12.241,2.1714117436057965,1.0304118981358343,1,1,2,Raster_Evt008_1ch.png,True
9,13070,13.07,0.04676242608989873,0.6689169321099473,2,2,1,Raster_Evt009_1ch.png,True
10,13222,13.222,-0.6701183989173436,0.3427429731338232,2,2,1,Raster_Evt010_1ch.png,True
11,15436,15.436,0.5502872235982406,-0.5700336241654235,1,1,1,Raster_Evt011_1ch.png,True
12,16904,16.904,0.6182082088832292,-0.13569784592817843,1,1,1,Raster_Evt012_1ch.png,True
13,19244,19.244,0.17695357682994683,-0.6018672591080304,2,2,1,Raster_Evt013_1ch.png,True
14,19609,19.609,0.021776605822530257,-0.03762800941786473,2,2,1,Raster_Evt014_1ch.png,True
15,19841,19.841,0.9602558200031276,0.19274924112535252,1,1,0,Raster_Evt015_1ch.png,True
16,20877,20.877,-0.5537338584969826,0.22424258401256092,2,2,1,Raster_Evt016_1ch.png,True
17,21239,21.239,-0.7835849205472466,0.6992896335877883,2,2,1,Raster_Evt017_1ch.png,True
18,27382,27.382,-0.35863304933037543,0.41254749102592214,2,2,1,Raster_Evt018_1ch.png,True
19,27774,27.774,-0.620991771385211,0.45404430161628023,2,2,1,Raster_Evt019_1ch.png,True
20,28108,28.108,-0.052689782758034084,-0.030688627809199454,2,2,1,Raster_Evt020_1ch.png,True
